DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA
4/14/2016 9:04,311003500,36.43485,17.95973,271,18.7,511,9361835,CSCC TIANJIN,C6XA4,70,25,152,16,16,8.5,ES VLC,4/16/2016 9:00
4/14/2016 9:04,215155000,37.56806,16.66646,220.6,13,511,9227455,SEATRIUMPH,9HDY7,81,225,49,25,25,10.5,MALTA OPL,4/14/2016 20:30
4/14/2016 9:09,372400000,37.57653,16.97148,286.4,18.1,511,9467421,MSC MARIA SAVERIA,3FLE8,71,146,220,32,16,10.8, GIOIA TAURO,4/14/2016 17:00
4/14/2016 9:16,356189000,36.47713,17.29795,90,12.4,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 10:02,354562000,36.5115,16.557,92,12.2,511,9103740,CANKA,HPSG,70,0,90,0,15,3.8,TR AMBARLI,4/16/2016 23:00
4/14/2016 10:04,636017041,37.37783,16.79372,296,20.3,511,9108178,BOX CHINA,D5JA4,73,191,85,28,12,13,GIOIA TAURO,4/14/2016 16:00
4/14/2016 10:04,667001549,37.69765,16.63179,285.1,10.7,511,7368815,BRITTA K,9LU2352,70,47,27,6,6,3.6,SETE,4/17/2016 11:00
4/14/2016 10:04,215155000,37.40644,16.49162,220.2,12.6,511,9227455,SEATRIUMPH,9HDY7,81,225,49,25,25,10.5,MALTA OPL,4/14/2016 20:30
4/14/2016 10:04,372400000,37.65384,16.63889,285.6,17.6,511,9467421,MSC MARIA SAVERIA,3FLE8,71,146,220,32,16,10.8, GIOIA TAURO,4/14/2016 17:00
4/14/2016 10:08,636092576,36.51312,17.20043,272.6,11.9,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 10:28,356189000,36.46753,17.60185,114,12.1,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 11:00,636017041,37.49777,16.47047,300,20,511,9108178,BOX CHINA,D5JA4,73,191,85,28,12,13,GIOIA TAURO,4/14/2016 16:00
4/14/2016 11:01,311003500,36.44917,17.24053,272.9,18.4,511,9361835,CSCC TIANJIN,C6XA4,70,25,152,16,16,8.5,ES VLC,4/16/2016 9:00
4/14/2016 11:02,636092576,36.51838,16.99777,272.2,12,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 11:04,247819000,37.65733,16.761,103,15,511,8716502,COSTA NEOCLASSICA,ICIC,60,41,179,17,17,7.6,KALAMATA,4/15/2016 5:00
4/14/2016 11:04,538005402,37.60213,16.51467,214,13.7,511,9688386,STI CAMDEN,V7DM9,80,150,34,21,6,8.1,MALTA OPL,4/14/2016 21:30
4/14/2016 11:28,356189000,36.45427,17.85253,90,12.2,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 11:44,354562000,36.49533,16.99967,92,12.2,511,9103740,CANKA,HPSG,70,0,90,0,15,3.8,TR AMBARLI,4/16/2016 23:00
4/14/2016 12:01,356189000,36.4511,17.97392,91,12.1,511,9317779,SIDER DREAM,3FEW8,70,154,21,15,13,5.8,YUZHNYY,4/18/2016 18:00
4/14/2016 12:02,636092576,36.52866,16.74943,274.8,11.9,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 12:02,354562000,36.49317,17.062,92,12.3,511,9103740,CANKA,HPSG,70,0,90,0,15,3.8,TR AMBARLI,4/16/2016 23:00
4/14/2016 12:04,311003500,36.46055,16.82877,272.2,18.7,511,9361835,CSCC TIANJIN,C6XA4,70,25,152,16,16,8.5,ES VLC,4/16/2016 9:00
4/14/2016 12:05,247819000,37.59867,17.06767,105,14.8,511,8716502,COSTA NEOCLASSICA,ICIC,60,41,179,17,17,7.6,KALAMATA,4/15/2016 5:00
4/14/2016 13:03,247819000,37.53783,17.36417,105,15.1,511,8716502,COSTA NEOCLASSICA,ICIC,60,41,179,17,17,7.6,KALAMATA,4/15/2016 5:00
4/14/2016 13:04,636092576,36.53664,16.47336,273.9,11.9,511,9154854,MV VOGE RENATE,A8LO2,79,124,25,14,11,9,AVEIRO,4/19/2016 6:00
4/14/2016 13:13,226276000,36.93317,17.618,250,7.5,511,9369265,BUCKINGHAM,FMFY,52,14,8,6,6,3,VALLETTA,4/15/2016 12:30
4/14/2016 14:01,255805623,37.39133,17.9185,285,16.6,511,9236274,PACUL,CQFV,71,120,29,10,13,7.8,NAPLES,4/15/2016 11:00
4/14/2016 14:03,226276000,36.89517,17.49567,249,7.4,511,9369265,BUCKINGHAM,FMFY,52,14,8,6,6,3,VALLETTA,4/15/2016 12:30
4/14/2016 14:04,247819000,37.47533,17.66683,105,15.1,511,8716502,COSTA NEOCLASSICA,ICIC,60,41,179,17,17,7.6,KALAMATA,4/15/2016 5:00
4/14/2016 14:28,271000654,36.4805,17.839,271,12,511,9238076,YIGITCAN A,TCTP,71,11,145,12,12,9,CAGLIARI,4/15/2016 21:59
4/14/2016 14:39,354562000,36.46667,17.74683,94,12.3,511,9103740,CANKA,HPSG,70,0,90,0,15,3.8,TR AMBARLI,4/16/2016 23:00
